Año,Municipio,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2015,Campeche,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,2,4,7,3,13,16,15,12,20,23,17,25
2015,Campeche,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Robo de autopartes,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Robo de autopartes,Sin violencia,0,0,1,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Robo a transportista,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Robo a transportista,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Robo a transeúnte en vía pública,Con violencia,1,6,5,0,3,9,0,5,0,7,4,0
2015,Campeche,El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Robo en transporte público individual,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Robo en transporte público individual,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Robo en transporte público colectivo,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Robo en transporte público colectivo,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Robo en transporte individual,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Robo en transporte individual,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Robo a institución bancaria,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Robo a institución bancaria,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Robo a negocio,Con violencia,0,0,0,2,1,2,0,2,0,0,0,2
2015,Campeche,El patrimonio,Robo,Robo a negocio,Sin violencia,0,0,2,0,3,0,5,5,3,2,2,0
2015,Campeche,El patrimonio,Robo,Robo de ganado,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Robo de ganado,Sin violencia,0,1,2,0,0,0,0,0,0,0,0,1
2015,Campeche,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Con violencia",0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia",0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Robo,Otros robos,Con violencia,0,0,0,0,0,3,0,1,0,0,0,2
2015,Campeche,El patrimonio,Robo,Otros robos,Sin violencia,5,11,2,4,0,1,1,4,8,8,2,6
2015,Campeche,El patrimonio,Fraude,Fraude,Fraude,0,0,0,0,0,0,1,1,0,0,0,0
2015,Campeche,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Extorsión,Extorsión,Extorsión,0,0,0,2,1,1,1,1,4,4,2,5
2015,Campeche,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,0,0,1,2,6,5,2,7,3,5,2,2
2015,Campeche,El patrimonio,Despojo,Despojo,Despojo,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,El patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,0,1,0,0,0,0,3,4,1,0,1,0
2015,Campeche,La familia,Violencia familiar,Violencia familiar,Violencia familiar,0,0,0,1,0,1,0,0,0,1,0,0
2015,Campeche,La familia,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,La familia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,La familia,Otros delitos contra la familia,Otros delitos contra la familia,Otros delitos contra la familia,0,0,0,0,0,1,0,0,0,0,0,0
2015,Campeche,La sociedad,Corrupción de menores,Corrupción de menores,Corrupción de menores,0,0,1,0,0,0,0,0,0,0,0,1
2015,Campeche,La sociedad,Trata de personas,Trata de personas,Trata de personas,0,0,0,0,0,1,0,0,0,0,0,0
2015,Campeche,La sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,0,0,0,0,0,0,0,0,0,0,0,0
2015,Campeche,Otros bienes jurídicos afectados (del fuero común),Narcomenudeo,Narcomenudeo,Narcomenudeo,2,2,0,0,3,0,2,3,0,4,3,1
2015,Campeche,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,0,0,0,0,5,0,1,0,1,2,0,1
2015,Campeche,Otros bienes jurídicos afectados (del fuero común),Allanamiento de morada,Allanamiento de morada,Allanamiento de morada,2,3,0,0,0,1,2,0,2,4,2,0
